1	3
1	19
1	20
1	25
2	11
2	15
2	18
2	21
3	1
3	11
3	19
3	26
4	12
4	19
4	25
4	26
5	14
5	22
5	28
5	30
6	18
6	21
6	27
6	29
7	15
7	26
7	27
7	29
8	9
8	17
8	28
8	30
9	8
9	21
9	27
9	29
10	17
10	22
10	23
10	30
11	2
11	3
11	12
11	26
12	4
12	11
12	13
12	26
13	12
13	19
13	20
13	25
14	5
14	16
14	22
14	24
14	28
15	2
15	7
15	21
15	27
15	29
16	14
16	18
16	21
16	27
16	29
17	8
17	10
17	23
17	24
17	30
18	2
18	6
18	16
18	21
18	25
19	1
19	3
19	4
19	13
19	25
20	1
20	13
20	25
20	26
20	29
21	2
21	6
21	9
21	15
21	16
21	18
22	5
22	10
22	14
22	23
22	28
22	30
23	10
23	17
23	22
23	24
23	28
23	30
24	14
24	17
24	23
24	27
24	28
24	30
25	1
25	4
25	13
25	18
25	19
25	20
25	26
26	3
26	4
26	7
26	11
26	12
26	20
26	25
27	6
27	7
27	9
27	15
27	16
27	24
27	29
28	5
28	8
28	14
28	22
28	23
28	24
28	30
29	6
29	7
29	9
29	15
29	16
29	20
29	27
30	5
30	8
30	10
30	17
30	22
30	23
30	24
30	28
