degree distribution (probability density function of the degree in logarithmic bins) 
3	0.0814153
4	0.767912
5	0.301791
6	0.222965
7	0.0350502
8	0.0621488
9.2	0.137748

degree distribution (degree-occurrences) 
3	0.03125
4	0.375
5	0.1875
6	0.15625
7	0.03125
8	0.0625
9	0.125
10	0.03125


--------------------------------------
community distribution (size-occurrences)
6	0.25
7	0.25
9	0.25
10	0.25


--------------------------------------
mixing parameter
0	0.34375
0.108333	0.125
0.130952	0.09375
0.166667	0.09375
0.2	0.09375
0.25	0.21875
0.5	0.03125

--------------------------------------
