degree distribution (probability density function of the degree in logarithmic bins) 
19.4978	0.15595
21.5176	0.107466
23	0.0416627
24.4322	0.0642748
26.5253	0.0500568
28.4557	0.0370787
30.3538	0.0283192
32.9459	0.0299273
36.0204	0.0183951
38.8478	0.01603

degree distribution (degree-occurrences) 
19	0.115
20	0.114
21	0.082
22	0.088
23	0.071
24	0.067
25	0.051
26	0.047
27	0.052
28	0.043
29	0.036
30	0.042
31	0.023
32	0.026
33	0.026
34	0.022
35	0.018
36	0.012
37	0.019
38	0.02
39	0.013
40	0.013


--------------------------------------
community distribution (size-occurrences)
66	0.166667
71	0.0833333
75	0.0833333
79	0.0833333
81	0.0833333
86	0.0833333
90	0.0833333
92	0.0833333
98	0.25


--------------------------------------
mixing parameter
0.0357143	0.001
0.0526316	0.015
0.0625	0.001
0.0706897	0.01
0.075778	0.039
0.0819748	0.08
0.0871199	0.072
0.0933615	0.201
0.100171	0.18
0.105515	0.197
0.111746	0.055
0.118316	0.069
0.125	0.029
0.130219	0.026
0.136364	0.016
0.142857	0.008
0.157895	0.001

--------------------------------------
