1  1  1  1  2  1  2  2  1  1  1  1  1  1  1  1  1  2  1  2  1  
2  2  1  2  2  2  2  2  1  1  1  1  1  2  1  1  2  2  1  1  2  
3  1  1  1  1  2  1  2  2  1  1  1  1  1  1  2  1  2  2  1  1  
4  1  1  2  1  2  2  2  1  2  2  1  2  2  1  2  1  1  2  2  1  
5  1  1  2  2  2  1  2  1  1  1  2  1  2  1  2  2  1  1  1  2  
6  2  1  2  1  2  1  2  1  2  2  1  2  2  1  1  1  1  2  1  1  
7  1  1  1  1  2  2  2  2  2  1  2  1  1  2  1  2  1  2  2  2  
8  1  1  2  2  2  2  2  1  1  2  2  2  2  1  1  2  2  1  1  1  
9  2  2  2  1  2  2  1  1  2  2  2  2  1  1  2  1  1  1  1  2  
10  2  1  2  1  2  1  1  2  1  1  2  2  2  1  2  2  2  1  2  2  
11  1  2  1  1  2  1  1  1  1  2  1  1  2  1  2  2  2  2  2  2  
12  1  2  1  1  2  1  2  1  2  2  1  1  2  2  1  1  1  2  2  2  
13  2  2  2  1  2  1  2  2  1  1  2  2  2  1  2  1  1  1  1  1  
14  1  1  2  1  1  2  1  1  2  2  1  2  2  2  1  2  1  2  2  1  
15  2  2  2  2  1  2  2  2  2  2  2  2  1  1  2  2  1  1  1  1  
16  2  2  1  2  1  1  1  2  2  1  2  1  1  1  1  1  2  1  1  2  
17  2  2  2  2  2  1  2  2  1  1  1  2  2  1  2  2  2  2  2  1  
18  1  2  2  1  1  2  1  1  2  1  2  2  1  1  1  1  1  2  2  1  
19  1  1  2  2  2  1  2  1  2  1  1  2  2  2  1  1  1  2  2  2  
20  1  1  1  2  1  1  2  1  2  2  2  1  2  2  1  2  1  1  1  2  
21  1  1  1  2  1  2  1  1  1  1  1  2  1  2  2  1  2  2  1  2  
22  2  2  1  2  1  2  2  1  1  2  1  1  2  2  2  1  1  2  1  2  
23  2  2  2  1  1  2  1  1  2  2  1  1  1  1  2  1  1  1  1  2  
24  2  2  1  2  1  2  2  2  2  1  1  2  1  1  2  2  1  1  2  2  
25  1  1  1  1  1  2  1  2  1  1  2  1  2  2  1  1  2  1  1  1  
26  1  1  1  1  2  1  1  2  1  1  2  1  1  1  1  1  2  1  1  1  
27  2  2  2  2  2  2  1  1  2  2  2  2  1  1  1  1  1  2  2  1  
28  1  1  2  1  2  1  2  2  1  1  1  1  2  2  2  2  1  2  1  1  
29  2  2  1  1  2  2  1  1  2  2  2  1  1  1  1  1  1  2  1  1  
30  2  2  2  1  2  2  1  2  2  2  1  2  2  2  2  1  2  1  2  2  
31  2  2  2  1  2  2  1  1  2  2  2  2  1  1  2  1  1  1  1  2  
32  2  2  2  2  1  2  1  2  2  2  1  1  1  1  1  2  1  1  1  1  
33  2  2  1  2  1  2  2  1  2  1  2  2  1  1  1  1  1  1  2  1  
34  1  1  2  2  1  1  2  2  2  2  1  2  2  2  1  1  1  2  2  2  
35  2  2  2  1  1  2  1  2  2  2  1  1  1  1  1  1  1  2  2  1  
36  2  2  2  2  1  2  2  2  2  2  2  1  1  1  1  2  1  1  1  1  
37  1  1  1  1  2  1  2  1  2  2  2  1  1  2  1  2  1  2  2  2  
38  2  1  1  2  2  2  2  1  1  1  1  2  2  1  1  2  1  1  1  2  
39  2  1  1  2  1  1  2  1  1  1  1  1  1  1  1  1  1  1  2  2  
40  2  2  2  2  1  1  1  1  2  2  2  2  1  1  2  1  1  1  1  2  
41  2  2  1  2  1  1  1  1  1  1  2  1  1  2  2  1  2  1  2  1  
42  1  1  1  2  2  1  1  2  1  1  2  2  1  1  2  1  1  1  1  1  
43  1  2  1  1  2  2  1  1  2  2  1  2  2  2  2  2  1  2  2  1  
44  1  1  2  1  2  2  2  1  1  1  1  1  1  1  2  1  1  2  1  1  
45  1  1  2  1  1  2  2  1  1  2  1  1  2  1  1  2  1  1  2  1  
46  1  2  2  1  2  1  1  2  1  1  2  2  1  1  2  1  2  1  1  1  
47  1  2  1  1  1  2  2  1  2  2  1  1  2  2  2  2  1  1  1  2  
48  2  2  2  2  2  2  2  1  1  2  1  1  1  1  1  2  1  1  1  2  
49  2  2  1  1  1  1  1  1  2  1  2  1  1  2  1  1  2  1  1  1  
50  2  2  2  1  2  2  1  1  2  2  2  2  1  1  2  1  1  2  1  2  
51  2  2  1  2  1  2  1  1  1  1  1  1  1  2  2  1  2  2  2  2  
52  2  2  1  2  2  1  1  2  1  2  1  1  2  2  2  1  1  1  2  2  
53  1  1  1  1  2  2  1  1  1  2  1  1  2  2  1  2  1  1  2  1  
54  2  2  1  1  2  1  2  2  1  2  1  1  2  1  1  1  2  2  2  2  
55  2  2  1  2  1  2  1  2  1  1  1  2  1  2  2  2  1  2  1  1  
56  2  1  1  2  1  2  1  1  1  1  2  2  1  2  2  2  2  2  1  1  
57  2  2  2  1  2  1  2  2  2  1  1  2  2  2  2  1  2  1  2  2  
58  1  2  2  1  2  2  1  1  1  2  2  2  1  1  1  1  2  2  2  1  
59  2  2  2  2  1  1  1  2  1  2  2  1  1  2  1  1  1  1  2  1  
60  2  2  2  1  2  1  2  2  2  2  1  2  1  2  2  1  2  1  2  2  
61  1  2  2  2  1  2  1  1  2  2  2  2  2  2  1  1  2  1  2  1  
62  1  2  2  1  2  2  1  2  2  2  2  1  1  2  1  1  1  2  1  2  
63  1  2  2  1  2  1  1  2  2  1  1  1  1  2  1  1  1  2  1  2  
64  1  1  2  2  2  2  1  2  1  1  2  2  2  1  2  2  2  1  1  2  
65  1  1  1  1  1  1  2  1  2  2  2  1  2  2  2  2  1  2  1  2  
66  2  2  1  1  1  1  2  2  2  1  1  2  2  1  2  2  1  1  2  2  
67  2  2  2  2  1  1  1  2  1  1  2  1  1  2  2  2  1  1  2  1  
68  2  2  1  2  2  1  2  1  2  1  2  1  2  2  2  2  2  1  2  1  
69  2  2  2  1  2  2  1  1  2  1  2  2  1  1  1  1  1  1  1  2  
70  2  1  1  2  1  2  1  2  1  1  1  1  2  2  2  2  1  2  2  1  
71  1  1  2  1  2  2  1  1  2  2  1  2  2  2  2  2  2  1  2  1  
72  1  1  1  2  1  2  1  1  1  1  1  2  1  2  2  1  2  2  2  2  
73  1  2  2  1  2  2  1  1  2  2  1  1  2  2  2  1  2  2  2  1  
74  1  1  1  2  1  2  2  1  1  1  1  2  1  2  2  2  1  1  1  1  
75  2  1  1  2  2  2  2  2  2  2  1  2  1  1  1  2  1  1  2  2  
76  1  2  1  1  2  2  1  1  2  2  2  1  2  2  2  2  2  2  2  2  
77  2  2  1  2  1  2  2  2  2  1  1  2  1  1  2  2  1  1  2  2  
78  1  2  1  1  2  2  1  1  2  1  1  2  2  1  2  2  2  2  2  1  
79  2  1  2  2  1  1  1  2  1  1  2  1  2  2  1  1  1  1  2  2  
80  2  1  1  2  1  2  1  1  1  1  1  2  1  2  2  1  2  2  2  2  
81  2  2  1  2  1  2  2  2  2  2  1  1  1  1  1  2  1  1  1  1  
82  2  2  1  1  1  2  2  2  1  1  1  2  1  2  2  2  1  1  2  2  
83  1  2  2  2  1  2  1  1  2  1  2  2  1  1  1  1  1  2  2  2  
84  2  2  2  2  1  2  2  2  2  1  1  2  1  1  2  2  1  1  2  2  
85  2  1  1  2  2  2  2  1  1  2  2  2  2  1  1  2  2  1  1  2  
86  2  2  1  2  1  2  2  2  2  1  1  2  1  1  1  1  2  1  2  1  
87  1  1  1  1  1  1  2  2  1  2  2  1  1  2  1  1  1  2  2  2  
88  2  1  2  2  2  1  1  2  1  1  2  1  2  1  1  1  1  1  2  2  
89  2  2  2  1  2  1  1  2  2  2  1  2  2  2  2  2  2  1  2  2  
90  2  2  1  2  1  2  2  2  2  1  1  2  1  1  2  2  2  1  2  2  
91  2  2  1  2  2  1  2  1  1  2  2  1  1  1  1  1  2  2  1  1  
92  2  1  2  2  1  1  1  2  1  1  2  1  2  2  2  1  1  2  2  2  
93  1  2  1  1  2  2  1  1  2  2  1  2  2  2  2  2  2  2  2  2  
94  2  2  2  2  2  1  1  1  2  1  2  2  2  1  2  2  1  1  1  2  
95  2  2  2  2  2  2  1  2  1  1  1  2  2  2  1  2  2  1  1  2  
96  2  2  1  1  1  1  2  1  1  2  1  1  2  1  1  1  2  2  1  1  
97  2  2  1  2  2  1  2  1  1  2  1  1  2  2  2  1  2  2  2  2  
98  2  1  1  1  2  2  1  1  1  1  1  2  2  2  2  2  2  2  1  1  
99  1  1  2  1  1  1  2  2  1  1  2  1  1  2  1  2  1  2  2  2  
100  2  2  1  2  2  1  2  1  1  2  1  1  2  1  1  1  1  1  1  1  
101  2  2  2  1  1  1  2  2  1  2  2  1  2  1  1  2  1  1  1  1  
